,protein,RYGB,SHAM
76,Mut,"[260277.03253958112 348150.460540936 371857.2716739404 433793.3125985315
 368945.5682292145 265039.83985701506]","[242611.03777667135 249055.37716109198 232820.27900996213
 196212.16989409362 189079.95997020922 255377.91494763145]"
77,Hykk,"[198297.34676061964 247756.27786017666 246272.17155041776
 127896.09916602132 69752.75191715617 256783.1961394501]","[331869.8271400938 314333.0350592087 440093.5999131649 238221.23500887142
 250192.87709443213 292888.1045566211]"
78,Hsd17b13,"[149606.79960019363 932032.9517031426 991257.6133904342 997728.8759609128
 858493.3250376941 830791.8864514013]","[1325886.091007349 1252988.9771972212 908505.5005615229 2103222.1175872874
 1235467.547081618 1694017.1301956964]"
79,Ttpa,"[1051027.7808654932 1600396.3092794318 927128.4742950056
 1111207.1190107823 961327.4109645932 1318789.4275195189]","[1277793.3381277982 1259070.9429487656 1681823.9759321907
 1896705.3688205178 1493963.3571541898 1357475.32157215]"
80,Cyp27a1,"[1035351.499192651 823610.0426179974 957591.4876832897 781628.3190231466
 989137.88602449 577808.7313617017]","[686508.0748112686 544052.9341569028 826001.8768440643 631159.0903005082
 549402.3985637227 632250.8494904609]"
81,Vim,"[765729.4279168139 977410.0806493121 481323.4140788156 620478.4492248307
 531528.6731257224 961645.3816320412]","[395911.2763697847 479895.43110274395 723387.5404639721 563587.4177246125
 390425.0545066454 397878.50535379944]"
82,Esd,"[1492836.0265041075 1093523.2653387815 1673588.2704157548
 1456009.3310502418 1496527.983341634 1614562.6161757219]","[1786172.0412804144 1786312.616665256 1641012.497694626 1508088.0997772173
 1961812.2391868958 1746218.1980811034]"
83,Nme2,"[1967028.8997118415 1796876.4999413928 1468175.7599469943
 1947790.5123675882 1842876.2142243842 2014897.1472333209]","[1602426.6758313805 1458836.7628156024 1812709.8310494227
 1525250.9697379337 1658569.809077607 1402266.8905885422]"
84,Adk,"[2205379.4797291285 1608622.0770925558 1780731.3159950736
 1729729.6482671408 1651925.7777430392 2006436.9103656067]","[2131624.322376913 2163289.192375137 2526461.320464253 1995180.373046812
 2365292.531587731 2193030.472449152]"
85,Aldh9a1,"[6677606.448864042 8180399.016963269 8479980.31704693 7010623.012015622
 6888776.751292207 7387001.954524486]","[9593490.577840723 10390602.971450957 7430552.358939863 10017576.826237004
 8623423.605237624 10371149.7129971]"
86,Hspa9,"[6130843.021315503 6250898.945022471 7852517.304681943 7064889.02666174
 7073558.355019124 7061996.155605006]","[5844439.11061547 5643134.419863457 6349519.336084144 5581416.117003723
 5691786.096988573 6185095.747074813]"
87,Cyp2a2,"[311473.9116827813 263903.59596672974 132245.74354378248
 358483.43899929256 384257.78406424774 568411.366570302]","[362654.60762263957 563635.5698996627 924408.5684239246 1055599.0963631773
 510627.62298069836 601336.0644802788]"
88,Prpsap2,[205.36 205.36 205.36 205.36 205.36 205.36],"[33540.659128371284 17923.30857791763 35542.86235144088 22184.008438257864
 12843.866157093878 205.36]"
89,Snrpd3,"[243943.08744405827 216091.59167945138 170076.25153034198
 143013.43480870573 150615.92732795753 185022.4686995503]","[66169.3479219047 139566.35761509536 84141.69099013107 182272.7380094946
 134427.9061214577 135651.47672655733]"
90,Ndufv2,"[1117733.9397902663 995801.6059646005 1035322.1056131338
 1091340.7744820365 1180571.522555074 1088105.7861276495]","[890590.6250463856 899127.6801088552 786007.4354052815 841673.8148795075
 916529.8613465142 793480.1017756889]"
91,Rps8,"[756991.7780427113 600031.9686552421 647630.7025500645 673317.8281400945
 545667.8173325692 588559.9677182856]","[404971.1928908801 466598.03061536903 585135.7533009264 689326.3466212732
 497656.2541167514 417606.8258123793]"
92,Aco2,"[1217984.6533783614 955250.811839374 1113760.255217322 1525312.1983284636
 1421504.0434904553 1244494.9023076803]","[1680464.6299219595 1839716.7788795952 1412386.2818485936
 1408991.9299508657 1591496.2476385087 1824406.1106923816]"
93,Fmo1,"[331146.2373128782 66986.55896579014 36041.74452863219 58678.1067944517
 74117.90545786115 132174.715791992]","[361515.88740997727 284780.8957838176 455029.79161911854
 392230.99521263776 215611.81526615258 243779.23168725052]"
94,Snx2,"[48580.34545795317 62088.63863047031 73490.46047069112 101931.36302497577
 79871.59817882326 92846.083892357]","[45566.44362444087 45597.70267487097 34935.73605111235 50666.496511784375
 81686.3363410599 59884.30900671308]"
