,protein,RYGB,SHAM
1142,Idh3g,"[1159.011205500942 205.36 4572.520790392804 16852.469832697658
 15193.084304576265 15644.288708189524]",[205.36 13887.403063204181 205.36 205.36 12708.020563151642 205.36]
1143,Lhpp,"[50752.17062697151 142240.71484803868 19846.857129321656
 25758.137114674464 134545.50284596978 25838.235541272094]","[148746.74276255732 154695.17072371318 218029.86547313115
 189257.78993857722 23287.213894450684 123901.06029346937]"
1144,Copg1,"[132875.28159150752 195156.58852893522 205.36 121021.5105708826 205.36
 26988.70876650561]","[61678.045155998996 11458.088099108296 94116.36487934072 182031.3794318401
 42214.20448176541 51572.72853940384]"
1145,Vdac1,"[2838969.164342676 3240391.6913109804 5240318.165477506 4838694.18089122
 4208717.714319568 4228162.105899356]","[4002116.838415261 4216256.778211562 2862589.1878401046 3330462.313470072
 3907356.131194138 3985454.581326682]"
1146,Fahd1,"[962412.906239953 827405.133566987 741599.9793912417 396455.1613992924
 521215.4067656416 428528.94782360166]","[732926.1881995496 504582.09345780296 1003827.297466789 848586.5355534406
 574967.4774130695 590312.2502569904]"
1147,Nsfl1c,"[162344.48087442567 141592.1157967302 100027.01528374305 78369.2865239441
 83863.83346917309 100987.07955080245]","[103189.37607696903 59115.480935218664 161895.072416715 106531.42303068259
 114893.10689883237 95188.33038313739]"
1148,Erlin2,"[42593.11055054606 252068.9793059193 216873.96077844783 213222.67428598198
 205698.89226255237 227145.08523074712]","[306259.83362186403 199109.65409694592 108875.05315936997
 471692.4018057997 185553.19687891324 205154.10661705403]"
1149,Ehd3,"[316366.6170609288 313453.0685443729 542542.2473225351 439359.05242706713
 632765.0547930173 539364.3948861968]","[345679.805626121 554317.8513784036 328518.79784426955 278900.8873543455
 329811.59087489196 558572.8548273643]"
1150,Stbd1,"[59506.32164179906 54916.626510211674 205.36 71059.62044078972
 9066.454765744607 11468.926428817547]","[2562.000936612606 9268.947493859989 72109.90010707788 50883.44934127429
 12231.526803015235 205.36]"
1151,Atp5l,"[933435.8909033348 833247.1753171632 1172245.3099522286 1155626.6766297787
 1320127.8375591014 1241508.5712364325]","[1027473.0638775999 1151288.9887074362 1044527.3733381107
 708552.3786312421 1215220.6153598668 1007363.584125361]"
1152,Eif4a3,"[32286.955646259587 34112.58486190397 23007.697354716456 32598.01219506156
 205.36 205.36]","[6779.898444743017 205.36 51878.975119480245 35053.906759093494 205.36
 27161.972905041624]"
1153,Tstd1,"[117233.30876750288 79432.62327010292 73756.16898315874 88338.14311792896
 77655.4526123876 78566.26097844251]","[41643.59068673145 205.36 117223.2382339435 172817.7455982916 205.36
 139676.3680293574]"
1154,Rpl13,"[68886.8935838248 1255779.0366074964 1457735.3758265127 1432758.2101961018
 1023129.1492905384 1072517.774174669]","[1216462.012760864 1164740.9594291602 56693.80658463698 1021218.3287020024
 1061489.4998112423 1275268.383643964]"
1155,Etfdh,"[1505181.0498384477 1934614.7036654616 2701889.707738456
 2455528.3573309514 2526124.0134342127 2779407.5872305906]","[2129781.3546174904 2483034.982785648 1821559.02321964 1425313.2847712315
 2596348.0329754534 2973099.245342424]"
1156,D2hgdh,"[135803.8419772832 88457.03680270215 28527.632256160658 18866.421970321022
 21364.11761533239 35104.357654744104]","[33883.11957210207 22537.878068545702 136719.3588765536 104421.42948208451
 205.36 21019.07101119932]"
1157,Rdx,"[469498.8747808963 788620.6723639276 521116.3935939979 598643.3845430289
 466851.14236676093 1045777.3032411324]","[672720.4414400304 631056.6706355652 836512.7403397383 551586.3262782741
 432412.64561232534 736169.5735749169]"
1158,Abcc6,"[815.7012620104767 205.36 27480.56480629405 32600.299181591014
 26559.609165563776 35774.915743381396]","[46601.161907184076 32218.33875916219 618.1999321718497 205.36
 27227.098814722933 34758.964151523105]"
1159,Cisd1,"[412425.3990915435 603011.1268248818 650112.221654125 503364.1130657538
 541216.9215268326 663643.8557733902]","[495129.1654678071 633986.7562500285 419828.09233685513 438225.45045143267
 499010.1295342444 553624.1525597948]"
1160,Prdx2,"[647734.5048567005 559167.713687288 626900.3383396819 954925.6847801998
 635276.4201879859 890576.8308452907]","[565180.7137671503 846064.2436246867 720827.43592578 501882.4518741778
 938285.2453579936 927319.1686172793]"
1161,Uggt1,"[728704.1691524689 556323.7993701838 281458.55485395994 214057.72724473613
 120717.05367782754 336617.55275875825]","[266058.71462104435 200191.94630882808 569704.3421379399
 506722.81091395544 250871.74281797293 224726.33333432185]"
1162,Txndc5,"[228999.57836529816 302193.8562593084 111508.49286942236
 157001.07735508805 154123.53580994433 164963.39732500928]","[164406.64654463175 155064.8671766697 279279.1406380158 316146.8910374123
 58792.94149915861 139714.90811414324]"
1163,Aco1,"[3008087.0565793375 2958433.197175636 2363904.268797408 2054866.6761342788
 2138543.6276195906 2250553.592851821]","[2449212.614518027 2069092.3791844775 2441355.72601514 2305541.071981979
 1833295.5670715643 2094352.995535284]"
1164,Bphl,"[608679.7682042943 735678.697005239 765975.6842393304 702992.5702874364
 645072.9211697796 809779.1140474625]","[765927.5123367151 719330.9048024965 697625.2239789551 591042.7156516074
 714852.6841155449 786834.167669069]"
1165,Larp4b,"[41449.29371411672 35440.52002509744 7355.6428302817 11361.293670300838
 205.36 16667.00039690582]","[205.36 8890.90427010911 51880.949993827475 21646.342262769675 205.36
 8790.527322903696]"
1166,Nipsnap1,"[2610209.205671592 2622519.8049975755 2504791.177870264 1887253.3765850638
 1839423.9560159324 1647625.3915209745]","[2243204.755884934 1751714.4767147435 2742573.347011453 2150651.486909439
 1921624.4621450559 1843527.4590105002]"
1167,Got2,"[11044590.44274269 16219632.223692039 14150827.029221332
 15399096.017462594 15800686.754236504 16295878.351746023]","[15633475.248768192 16220846.188513221 12443745.942854658
 15517901.650095284 14010821.00665101 16405813.282178825]"
1168,Tpi1,"[5078434.234721073 5197529.340166074 3853996.7390611046 4053194.0388460495
 3453304.658978598 4097720.497345212]","[3555982.2895607194 4150610.4720000583 5199946.380679231 5128730.488525649
 3354580.1218074183 4577175.5019610785]"
1169,Psmb4,"[143679.02088466892 144146.20494436618 58747.18801076438 205.36
 94388.75203771099 90672.04740693053]","[45528.09527881931 142684.23963714144 109698.23972997341 77217.26310536134
 132099.14319827303 73925.54950323436]"
1170,Cyp2b3,"[1304343.8634820324 787486.2590349126 930540.622386953 1045851.8935357598
 792794.3512186109 1354487.8089877742]","[1046911.817350225 968284.3187573783 1086466.2318103863 1172022.2382615656
 929725.4914329433 1020573.2887661142]"
1171,Acp6,"[185035.36211393098 194360.37024504945 121934.51457913134
 84192.17929167296 205.36 152152.13911469668]","[150452.26157932193 171728.98823719643 125114.81798236909
 216465.90421475237 112035.51708687888 122960.0872387844]"
1172,Tln1,"[398050.1518902876 516001.4196570512 211741.37410773095 345847.7690198213
 315822.1663993833 282813.1894397494]","[282663.59264305356 231851.7958775424 437404.6120111352 496062.0562769226
 242164.30661020524 270895.60404161934]"
1173,Dbi,"[4530988.505469506 3984445.128857239 2867509.6978294635 3100069.0591154546
 2671902.5303739244 1724821.9563882411]","[2180364.386997875 2458519.1563217673 4073946.4154162896
 3985093.5006147465 3056138.5475510447 2114676.654559056]"
1174,Kars,"[235947.26073347515 232534.16111646988 91272.98573878928
 166535.07389702706 157985.35083438564 181616.15488960315]","[158555.30788582907 129642.34738192834 270274.2249651094
 228727.68232717228 164345.69592770326 121411.27299274369]"
1175,Cmpk1,"[1134873.3755666849 872354.3436757694 626312.2101293276 829696.0753506843
 828948.8975838292 775270.8656050571]","[690897.9037444097 763636.42009096 1184085.03376182 786102.8540502571
 971243.4142811742 725354.6588308562]"
1176,Prkag1,"[205.36 750.7455919339045 29736.7268674493 33194.169530730695
 26021.201762548397 42045.09142893978]","[205.36 48653.12163546788 205.36 205.36 31101.609032157183
 44345.71790548644]"
1177,Sec13,"[152759.55032363796 164522.81172218898 125815.91225874615
 227977.14767225945 179290.3330269183 299877.6628595028]","[208262.52664901607 219604.60710539634 345097.6255904198 156234.1327578781
 238625.0714130146 83668.43811465974]"
1178,Tmem256,"[97805.69073515823 45947.54271328472 205.36 62043.868518367024
 53131.41951169251 65864.58046265843]","[65984.70656855319 46347.674685907026 99734.20073184474 77397.90992636935
 65943.58459913288 205.36]"
1179,Gpx1,"[6228178.9561684895 5724768.24403729 6571138.237838601 4910172.849169722
 8929551.761156088 7391118.483987789]","[6351557.467738186 7651499.134899334 5832022.896614124 7197958.287694411
 5783326.947417779 5911408.506439758]"
1180,Slc9a3r1,"[77342.32967888085 60047.17897808626 84481.386156464 78011.58609068346
 37847.40954942443 93425.79187979452]","[67534.75476597503 68910.46098199386 72598.84189070898 61131.38990267277
 71671.25504009608 69885.13279862358]"
1181,Glyat,"[1294559.9192903838 1073021.99728616 1096794.209705006 944337.071857489
 868454.1055852318 1178057.7562563089]","[855264.3866358289 559755.0134572563 1148754.610875449 957571.6730969206
 809325.4385007301 868818.9934606196]"
1182,Maob,"[2456221.6866653413 1823802.2498978989 2227014.627553177
 1519828.7254373096 1373396.5507834419 2618204.0710574538]","[1933780.65165315 1897337.900009704 2225824.599591288 2381950.5169485635
 1524139.096772693 2042065.6681370023]"
1183,Park7,"[719096.456759108 626670.2823108827 733236.9919923727 797820.9820158503
 468458.820541808 998911.0685232903]","[1069445.2541479634 829132.8827338377 891743.4833203785 597616.3003879433
 573760.5161774944 1045445.5752195785]"
1184,Gdi2,"[812428.0751516063 687104.1866060165 862646.544427692 827123.4611513746
 862364.0580747476 972554.69334152]","[566773.9030166393 839309.2349831773 870009.4504532353 816051.3976346531
 892675.4168118194 683968.3656014622]"
1185,Hyou1,"[636723.0252173155 736341.0625998807 605795.8073831316 665441.006549948
 498308.10559664224 750007.8685947577]","[402945.10466042906 456172.04581355036 961115.8712479484 661107.0567089828
 580419.6332819664 257753.73041573953]"
1186,Bbox1,"[623161.6450991755 410210.69835789985 117555.26960495421
 199658.60904017303 176080.2444943158 148252.21237462797]","[251896.89265418428 198065.96543514295 520402.0351789833 398427.7674671555
 213261.62960980547 224477.9467001315]"
1187,Rpl7a,"[175961.684315028 370046.7161739685 280143.3870631776 279658.3438427766
 286814.7118299215 294226.07294613647]","[114402.269396681 395141.68602047564 233076.3598336113 274842.79252088995
 273388.6741276455 338382.9513700433]"
1188,Hsd3b5,"[3499200.0335413357 3356902.4200440017 3723703.160417133 3945338.535761379
 3684653.4750055657 5339003.307322581]","[4157034.0130549287 4272956.216493982 3789088.421968499 3927413.5062424885
 3634764.8039768627 3912485.6991773825]"
1189,Crip2,"[146049.7642727258 140958.04019402253 192716.22524402203
 141448.27908192942 103414.32294599478 205.36]","[192315.02882820237 141547.4810632024 168634.69403407935
 125752.86354947618 161383.16968434828 132711.7224532851]"
1190,Sec31a,"[474321.44359334355 477133.5047589988 432316.9271078208 563325.9588172501
 523649.8140581425 472174.44221608306]","[280213.3015305722 356597.92973172484 560326.0812766175 517919.16722695646
 491282.0123195195 407524.8635592167]"
1191,RGD1564804,"[205.36 105196.72155887262 79002.28563567442 95371.53150702087
 82484.63240173501 103858.34070011004]","[63427.66859981834 81436.4163015693 171915.3684817914 113002.3394930101
 93802.27563873483 80804.10336673363]"
1192,Ran,"[205.36 205.36 74949.72444720595 117996.57330173302 205.36
 134140.8649637078]",[205.36 115431.18503578479 205.36 205.36 205.36 205.36]
1193,Tagln2,"[205.36 58765.12720868482 205.36 154237.28773263906 125287.22572466846
 142289.80115612526]","[205.36 97218.20578052232 138495.38636944955 64654.09077160834
 109172.56997746759 205.36]"
1194,Ilk,"[117091.07050052407 170335.0465711086 205.36 15065.409023404909 205.36
 80335.45418244152]","[71427.20681866189 42947.452058423936 163345.39624462798
 145764.46797689336 51285.33897625551 205.36]"
1195,Usp5,"[104310.10118350142 84992.00873267466 84368.06797125992 108219.02128450149
 36622.66841986005 41657.878927625745]","[34757.169065247755 88972.28061880852 26214.162482201584 65666.11708062315
 36067.46990421505 35938.824580161825]"
1196,LOC103693430,"[349551.066331489 518149.0420671738 840655.4737656689 963099.456145386
 1069037.5253961887 1035769.6997655586]","[724423.4021176426 813604.2598777852 327723.40376303735 205.36
 871753.9796834391 846315.3938117704]"
1197,Wdr61,"[205.36 54776.353017665286 34713.15188076239 36382.98932754929
 40307.52984493711 41122.68123679735]","[45750.69973920899 42338.42876254093 205.36 58831.0459320299
 34347.61742883106 39934.7444888527]"
1198,Ssr3,"[162307.70739817663 112156.94936216417 265587.76306728035
 212388.25391225572 189092.00301548597 239425.47552507574]","[243640.5606332789 174508.49765687203 164728.44470637568
 115164.81789727732 137027.37495787023 231610.00716398805]"
1199,Me1,"[205.36 60528.43858379739 91476.46561840831 128136.95080436142
 120498.37094712131 205.36]","[69794.39903981268 70279.22146404444 205.36 54429.604692373425 205.36
 66743.16658448965]"
1200,Aspg,"[29002.23835349754 25538.165330431617 27879.958972761677
 30747.036270602483 31508.41875643472 205.36]","[31963.251605224952 38887.62793733295 33921.678474713444
 30150.817564129513 205.36 27851.07904190641]"
1201,Sec61b,[205.36 205.36 132834.47850895798 205.36 165911.5879109515 205.36],"[129756.44927603018 205.36 205.36 205.36 117621.53334905661
 119331.19656604266]"
1202,Rap1b,"[649620.8270331953 572241.328215827 281876.4736041798 369921.8240606734
 300813.7821449892 401326.59727716434]","[472440.4463658049 247400.77769711366 929434.621511737 496081.79880807165
 58805.53795860556 350414.3903194452]"
1203,Aifm1,"[2770393.188927554 2344606.213561887 1985312.2369098014 1972102.5138839833
 2292859.259492646 2228178.3779623643]","[1574684.2668750454 1984255.6257896416 2486844.1857786397
 2504201.171431448 1697401.02232519 1955813.3005868203]"
1204,H2afx,"[3431683.9207491376 4857559.724486503 5337095.085763688 5865950.546516212
 2578168.8279526373 5446768.911842379]","[5804854.7289617015 3034418.4777057385 3916336.050945715
 2785529.1593435174 6352611.734353439 5101023.319155798]"
1205,Calr,"[4588201.654188234 5556902.480396821 4498506.292563425 4574899.808907718
 5251893.046307651 5264940.558059485]","[4630918.4119306775 4807283.184674446 4713935.292706349 5863681.156511176
 4182354.620899817 4394281.143624535]"
1206,Ssb,"[112677.2845428351 74128.3121978655 51615.05166825427 46395.351111328775
 47081.92610738074 46534.26253661317]","[27491.731332949505 39249.83039852951 109756.47346534918 73055.83393135919
 19623.57982074744 16751.861311635796]"
1207,Gnb2l1,"[1681793.4265797525 1917826.484350993 1379299.3162728024
 2374456.9486185643 1937151.6262991426 2153974.4421062795]","[2311799.760345606 2011818.80104428 1430447.21834737 1251304.1251955947
 1851939.6924683042 2613169.525937664]"
1208,Eef1a1,"[3869424.3943042555 7007873.190386938 8882351.789002208 11860639.5706795
 9436272.921493376 10869413.177850185]","[8475873.79737207 10618062.737590928 3758128.3407708304 4500086.496229768
 10131412.446963083 10495555.00431988]"
1209,Decr1,"[3777778.173510935 3087572.0805329294 5565495.979719482 5720181.273102122
 5049498.658849383 5032333.891925475]","[5828823.19324903 6197530.184685985 3432561.654854894 2764127.6577613293
 5163292.95479068 5945914.570378205]"
1210,Lman1,"[408464.5523623285 419566.1108005837 303763.72651190305 272725.36763383285
 306196.36560190393 269325.46962636884]","[321553.78817921743 213179.4027903488 413187.638434595 268238.0826755151
 296496.1018116492 322513.04012294527]"
1211,Gmppa,"[205.36 3494.6920401360476 205.36 101372.12168275465 46702.89225218091
 58698.427579246745]","[134261.18212015022 72250.2426026668 205.36 205.36 205.36
 38899.10426565651]"
1212,Taf3,"[8569.0857283478 1463902.9352294619 1906177.8406563331 2358620.233633231
 2545583.260692874 2111363.5989216976]","[1807922.8106808239 2216017.96092562 237949.0542522752 1255866.0013137064
 1765608.2757544431 2004222.3661335232]"
1213,Ddah1,"[771208.0958042879 691037.3300787391 1154232.4126201533 960434.8327889614
 743317.8679568826 1112936.815740186]","[989415.6937787976 822741.8602373835 720455.7371668791 844587.1090547693
 1104882.7776401364 819193.8202019051]"
1214,Decr2,"[631023.1580117866 650593.7672564933 440351.42342763825 615747.026075678
 539725.5469974258 722205.9263052496]","[576845.5839767044 724708.5874632295 545222.2390477272 892069.1657361474
 743217.5262130694 656623.7527002059]"
1215,Idh1,"[4890265.436733476 3916940.0074443943 4762214.674000581 4577993.752454107
 5329108.030252397 4205060.797178203]","[4945729.634309617 4937669.500095426 4974228.235363523 3967658.7656721454
 5355054.733306042 4211144.279529826]"
1216,LOC100909441,"[563008.2707957905 563019.7619340506 871486.3081445164 779843.5307124024
 558240.2807344274 622707.5368104626]","[659573.3210206504 431193.4754460951 548334.2723881016 532429.2911980788
 601518.4314113015 743544.9307858892]"
1217,Xdh,"[1430955.5317732857 1566781.8258216102 791553.832958975 592996.5266087394
 747041.6615919849 969645.3943391643]","[809918.1730327043 844646.3134894767 1755840.5930935766 1290823.2914305318
 685017.4462872543 646072.3345708182]"
1218,Vwa5a,"[501050.00283073547 171040.2194871298 9030.187536083922 62875.146039246734
 83564.13181575577 68066.9555092967]","[238169.4420229539 13373.259591856615 361552.56512853556 452543.7288822483
 217400.6563265999 225546.32819672875]"
1219,Hdlbp,"[1625216.682333888 1294639.6879587153 1035212.766545348 1242948.2155052607
 875635.0926237161 1149173.1365557695]","[934379.8373240302 1097653.923490109 1561894.5805626975 1325476.7526568375
 949975.4666077178 891925.630425516]"
1220,Zfp341,"[518935.5895052664 205.36 205.36 205.36 155180.0864486592
 224448.76859573676]","[236801.80077286914 205.36 7145.7175352902195 205.36 205.36
 234051.2235330184]"
1221,LOC100911576,"[686921.2741394108 462838.97899929894 358761.3330733281 353319.8992287161
 232705.04867485244 287248.7834027589]","[358478.9095845798 307036.8419634097 701066.594970731 527454.9082537595
 265705.3899085309 123449.45295567141]"
1222,Tomm70a,"[54283.89968177815 72906.14729894714 54448.615836800345 101099.79627849908
 97975.14006301455 106794.96255609699]","[32074.327356950253 80043.77976683641 75471.49763650823 76908.41674668212
 88106.72524574108 92126.1003659534]"
1223,C1qbp,"[228445.23181663995 188995.70175625224 165956.29497783337
 148301.09345222317 218478.23236591555 187771.21325784578]","[193822.7330929605 181788.92848479052 227224.66127310132
 178001.69037260255 132521.88904819448 145835.2303623263]"
1224,Myl6,"[237383.9907245337 547644.1308473926 548217.4568954291 760670.6062280874
 581093.4013208316 795657.1222944885]","[565503.4679317486 760271.0174902414 302294.4608009751 409728.45370887645
 650432.3001563447 609917.4481750404]"
1225,Rpl4,"[886173.5842346738 1212692.2582511967 874045.8235227503 1124467.2390538012
 1123126.236543025 1240086.6357820209]","[997762.345810584 1200078.7356036478 1129103.7282616976 1293326.7394006767
 1071155.4993128518 1233236.9794777234]"
1226,Tmem14c,"[358494.2903995802 290507.50622155826 222191.83832349023
 283844.32151502935 273435.17536563426 175308.66353475806]","[242317.35108515198 168076.20746584394 229552.79118425862
 256103.81180809278 204549.38356968918 317695.3352286011]"
1227,Tkt,"[8082988.287511782 6711443.202786071 6593585.841141115 5273715.660985801
 6347478.307257648 5183049.415827959]","[6012739.025431243 6354601.238428886 8362724.415201082 7426443.483362488
 5233183.328425679 5497797.789415606]"
1228,Ptgr2,"[222867.24145861898 159628.56863510984 63393.23789786706
 189159.67899779076 103582.78502830859 69789.93450289153]","[40834.13464988185 170342.14253550392 185879.12684200666
 112434.56725946568 63879.499983533075 129924.90548687342]"
1229,Mif,"[603205.6881966158 1524385.9403747837 2970447.3746335385 2963819.557932863
 2921513.3383789165 2257830.3054082496]","[2329170.0797964823 3055983.897558036 698296.9043910052 1963896.6413750518
 2092331.024443727 2071539.1047416145]"
1230,Pon2,"[49858.03682938409 88737.98286368437 104453.59880401361 128164.61855435412
 205.36 101380.6795837838]","[91113.96901511309 76384.2233475665 205.36 126574.40994326361 205.36
 108881.64689528871]"
1231,Ywhae,"[873187.1114590311 1508336.6499745036 1164254.3809865694 996131.9864062733
 1001150.323654503 1051567.2890815586]","[1031923.8937275046 1066898.2286754327 1070151.451316004
 1640591.1898532917 1000566.1339962416 980310.1742667191]"
1232,Akr7a2,"[2712599.759991938 2338679.714511469 3011729.9243601453 2685418.4173186906
 2653288.4547924493 2303341.3787992843]","[3244587.319563644 2883018.090826912 2561603.3753932463 2432471.1767197154
 2375641.5473045986 2840441.6555433827]"
1233,Lgals9,"[205.36 205.36 205.36 88722.51770774317 78996.88159748042
 106408.02335469087]","[205.36 85309.51385990865 205.36 205.36 42977.386807221366
 39768.6716013762]"
1234,Hnrnpl,"[205.36 36018.647260222606 205.36 63568.06490761464 37229.727211086494
 34811.372475633325]","[22425.23186853083 38910.408683787995 205.36 205.36 205.36
 67347.30830489489]"
1235,Fh,"[4158290.296966775 3935050.040006017 5073529.8831556 3594910.077206286
 4845168.689729109 4725195.744373333]","[5305702.549514179 4410523.942643671 4627798.061136299 3774273.608254637
 4902149.1971997805 5049827.743083994]"
1236,Mcfd2,"[36779.55691430373 29954.17474544897 205.36 22017.33688240305 205.36
 205.36]","[17738.91574592587 26020.303674508792 205.36 25190.39104272053 205.36
 8286.236219889724]"
1237,Cyp2j3,[205.36 205.36 205.36 205.36 205.36 205.36],[205.36 15785.161170581861 205.36 205.36 13286.933658367245 205.36]
1238,LOC299282,"[296004.5469356641 652725.3156291957 168727.882299141 208364.578298756
 160102.83198102174 471086.08589269785]","[168992.5040915881 383079.33489513176 261385.3483987473 361328.06582052965
 486794.8368410873 359275.419025225]"
1239,Pgk1,"[3238074.144487241 2245282.9578686054 2028792.4777556811 2173032.581701604
 2349964.3785927263 1991134.7232747637]","[2642583.7322468143 2422718.6477853246 2720011.2946541696
 2875769.4736941042 2588508.8829192673 2360581.6848222795]"
1240,Ivd,"[2087856.0611279868 1842036.5519304783 1667613.5044846775
 1662725.1374789306 1825097.0263014971 1481170.7234408495]","[1213162.3295748406 1712711.9794120346 2062118.0778556264
 1844123.5306828625 1301595.403909402 1684277.004108307]"
1241,Tubb5,"[386113.4519037 447334.39395351097 776973.8189386891 857571.6890420499
 904202.6806401898 883618.207134868]","[853335.6933794725 699150.1778160693 403777.5853053752 350504.12372145924
 270220.5808847289 613501.4574272356]"
1242,Dhfr,"[1493910.499833181 847522.1555117056 889453.5276975245 1168023.4943003869
 720992.6580441863 1277620.6659880595]","[719080.2998148481 894335.8681777117 1344588.6189121988 1046369.9556942773
 924622.8257917129 816379.5302305138]"
1243,Urad,"[2126814.7990553947 1834117.9504273655 900332.0102470047 1415283.779364315
 1431425.7038006051 983805.1976846061]","[1306242.0589839004 977627.4709170347 2342978.8665482993
 1422047.4723367908 1413024.3633787802 1054351.9392866087]"
1244,Ahsg,"[52578.499507935114 57410.15180729347 409658.6418135945 474345.83297207527
 254828.87290188784 522299.9638893267]","[140957.39454325906 212151.54847201792 28492.167158040535
 78526.21588979651 427447.04369391216 202581.268418135]"
1245,Rps3a,"[563246.1971313643 347401.1852313764 269309.31483900157 272288.53667056904
 252427.91304114414 294162.9439050439]","[323254.43088418304 178616.84774022302 565706.4959231691 355652.7519975102
 300660.64842535474 238750.92621804113]"
1246,Capzb,"[312749.1789030151 326403.90286149643 320937.7828661632 269425.8619158772
 181598.21789396694 294148.5557383638]","[274126.99007405445 242254.7376438083 350121.38290035893 371436.3418221887
 198677.45060777402 252986.7249205456]"
1247,Amt,"[466005.17093658424 357639.59609324613 295803.03687964665
 129035.28749594897 148251.22239245535 181943.06647004164]","[266686.9049866994 178378.37268685395 398617.91706371825 370505.3200900688
 182164.2784374579 163530.81222613202]"
1248,Gsta1,"[7039368.466144155 7006578.895376987 3292680.4432467856 3171401.112274296
 3298062.913296617 3951962.8427252094]","[4014551.406716725 4130647.5086459634 6490066.8356758505 5907955.993370414
 4764859.948217222 4107554.474251946]"
1249,Gars,"[137992.9921317808 214318.8455723874 97693.94019744886 240981.09412597065
 350124.0615783616 176485.94090244727]","[146891.56637021122 141785.6162686384 267539.9970866995 94783.4466319646
 262516.7618478452 225012.79830333643]"
1250,Lasp1,"[94759.3101738763 59899.336719520696 155047.04126433958 113116.18057324643
 205.36 142226.43788975672]","[105036.64491076012 93682.96703799863 56594.14453489813 70019.96717597911
 116347.38982204821 140734.63460722624]"
1251,Fkbp4,"[55800.712321696265 38630.990381666554 205.36 33410.9265157822
 33789.331736532666 205.36]","[22973.679477490125 38711.14738597445 147591.58944403604 83067.13257103322
 205.36 26765.28322180328]"
1252,Ces1d,"[2220849.6432257765 2296909.8311130847 5203277.09460338 5528448.184526772
 4035215.211961338 4728591.706813203]","[4025099.852812716 5132213.4502351405 2320417.1896860357
 3450525.6601631898 3000761.853148776 2939738.165765695]"
1253,Alb,"[30685645.94874895 19195222.280925818 22292792.403256945 20383900.70724148
 17386285.86363139 18858432.985429354]","[18695836.718819987 17331604.8173478 26140296.32923176 19304516.10987623
 25262550.714500543 21742912.659835152]"
1254,Psma7,"[502261.98136010155 398855.8077863784 217501.22014513958 318704.804842449
 287828.7821710378 255755.59355141263]","[260383.28795464415 254132.27997269228 427734.8588439286 386086.3610250173
 336927.75223615894 280815.309526677]"
1255,Atp6v1a,"[109961.8606478278 110179.31990622026 139528.4734265577 119588.50029720864
 152739.39569364375 137402.20084489073]","[125410.58467192407 100287.11926240138 132838.91510164656
 47254.125224243435 97383.1108224263 95990.39548064099]"
1256,Prdx6,"[3393634.4795332807 2807264.1138857463 3580490.3228210835
 4303095.0222625835 3801786.4284045715 4038647.5181041923]","[3732285.5480016638 4105417.197550669 3180219.0968901534
 2730306.1531273825 3907389.2831911147 3523738.9123964924]"
1257,Rab18,"[205.36 64729.29295615903 205.36 36106.071195809716 44169.11264627579
 54921.81915613881]","[205.36 44766.12890075729 205.36 205.36 63063.18012100339
 45333.76173111864]"
1258,Gstm2,"[4516674.112832476 7642781.912378762 7914110.966203216 7421116.24885449
 8021225.132649661 5491394.041337371]","[7057083.448462018 7609517.504670328 5912188.430013491 8444707.866458574
 6811387.212758282 7378618.6749177165]"
1259,Sult2a1,"[177782.53263064087 186329.76413484532 76581.59581087792
 163232.45640179093 166559.74780733435 244145.90358657058]","[64634.63725394617 166556.75330027245 183473.33702595904
 193112.53039792934 69812.56538612186 42795.43267476492]"
1260,Acsl5,"[1714178.8358087966 1121104.5846062948 1093445.9712610117
 1414991.849105429 1332288.0524324335 735505.8929099193]","[809014.4891544047 887693.40831345 1347712.5600825453 1445202.7205492104
 1215564.2924691262 1332147.6551926334]"
1261,Hnrnpa2b1,"[454553.69415701344 420821.5172549882 693080.2556322737 1252357.050943436
 999565.5599789307 1161414.7297623663]","[666039.596239203 1058381.4968738684 598521.8968021303 497571.25365146744
 727415.055314926 730112.3740361886]"
1262,Rpl13a,"[205.36 244966.87306456402 231545.56379867112 294218.9197960621
 313837.3290167776 306726.9877270505]","[331916.9080188852 373332.016239884 105991.8444968365 264953.8032325408
 263322.4869502862 374187.6917291014]"
1263,Eif5a,"[1397196.929828316 1296789.2384377639 825629.5374739362 1187782.0964403453
 1031151.4465071929 1035179.9150382519]","[1165213.487623743 1122990.4673049683 1610471.0816986926 914776.9069948378
 1160491.7630220058 953650.1967210987]"
1264,Actr2,"[170706.23281413037 370951.9173259944 433287.4200047023 164598.07638806978
 487399.9975303146 572122.2089677793]","[327981.8236076309 468530.6506763258 239896.67259654263 363388.28943099425
 352433.37773621164 481661.85108937003]"
1265,Oat,"[748354.5547902348 493675.36771585344 590961.810446718 481010.69850390684
 743366.3993968345 446244.87874202937]","[397536.19072627457 623676.2346863962 896655.1072121531 974704.1431556802
 174167.38858429005 374241.0181201692]"
1266,Copb2,"[286839.9113975815 237757.93433313712 78658.84475761719 103415.65931618541
 62401.5525318773 103719.15848849375]","[132519.88695260187 86014.15800576484 319490.3851853167 177539.4149251646
 138632.6835948643 87446.00721830598]"
1267,Echs1,"[5597011.533421082 8816516.123902682 9356568.77471678 7044215.536182435
 7581545.769887309 7408319.509757942]","[7846000.803700013 8705783.318849307 6129985.665977572 9683304.753494019
 7547965.263182276 6570881.904342961]"
