Source	Interaction	Arrow	Arrow_Type	Dashes	Color	Target
hsa:8443	reaction	True	arrow	False	blue	C00111
G00067	reaction	True	arrow	False	blue	hsa:8703
hsa:4804	binding/association	False	NA	False	black	hsa:6272
hsa:9227	reaction	True	arrow	False	blue	C00899
hsa:10393	inhibition	True	circle	False	black	hsa:10744
hsa:3706	reaction	True	arrow	False	blue	C01245
hsa:187	binding/association	False	NA	False	black	hsa:10672
C01243	reaction	True	arrow	False	blue	hsa:3705
hsa:2534	inhibition	True	circle	False	black	hsa:1499
hsa:10637	inhibition	True	circle	False	black	hsa:7040
hsa:7139	binding/association	False	NA	False	black	hsa:7134
hsa:5747	activation	True	arrow	False	black	hsa:25759
hsa:10	reaction	True	arrow	False	blue	C07447
C06314	activation	True	arrow	False	black	hsa:2357
hsa:5894	activation	True	arrow	False	black	hsa:5337
C11695	activation	True	arrow	False	black	hsa:1268
hsa:51471	reaction	True	arrow	False	blue	C05726
hsa:2820	reaction	True	arrow	False	blue	C00093
C00158	reaction	True	arrow	False	blue	hsa:48
hsa:18	reaction	True	arrow	False	blue	C06002
hsa:6688	missing interaction	True	arrow	True	black	hsa:1441
C00365	reaction	True	arrow	False	blue	hsa:1841
hsa:5599	binding/association	False	NA	False	black	hsa:23162
hsa:5058	activation	True	arrow	False	black	hsa:3984
hsa:2069	activation	True	arrow	False	black	hsa:2066
C00344	reaction	True	arrow	False	blue	hsa:54675
hsa:57761	inhibition	True	circle	False	black	hsa:208
hsa:362	state change	True	circle	True	black	hsa:362
hsa:3091	expression	True	arrow	False	black	hsa:2919
hsa:84335	inhibition	True	circle	False	black	hsa:2475
hsa:231	reaction	True	arrow	False	blue	C03684
C00049	reaction	True	arrow	False	blue	hsa:259307
hsa:4286	expression	True	arrow	False	black	hsa:7299
hsa:8792	activation	True	arrow	False	black	hsa:4790
hsa:8704	reaction	True	arrow	False	blue	G00036
hsa:3091	expression	True	arrow	False	black	hsa:5315
hsa:6198	inhibition	True	circle	False	black	hsa:3170
C05485	reaction	True	arrow	False	blue	hsa:3283
hsa:1969	activation	True	arrow	False	black	hsa:1942
hsa:10000	inhibition	True	circle	False	black	hsa:1027
hsa:9776	activation	True	arrow	False	black	hsa:22863
hsa:8737	activation	True	arrow	False	black	hsa:1147
hsa:85365	reaction	True	arrow	False	blue	G00005
hsa:4914	activation	True	arrow	False	black	hsa:3667
hsa:814	inhibition	True	circle	False	black	hsa:5139
hsa:4337	reaction	True	arrow	False	blue	C21310
hsa:2052	reaction	True	arrow	False	blue	C14800
hsa:11069	activation	True	arrow	False	black	hsa:6262
hsa:9054	activation	True	arrow	False	black	hsa:27304
hsa:10870	binding/association	False	NA	False	black	hsa:100528032
hsa:841	activation	True	arrow	False	black	hsa:839
hsa:54995	reaction	True	arrow	False	blue	C05753
hsa:10344	activation	True	arrow	False	black	hsa:1232
C02189	reaction	True	arrow	False	blue	hsa:64131
hsa:440275	activation	True	arrow	False	black	hsa:1965
C00334	reaction	True	arrow	False	blue	hsa:57571
hsa:6723	reaction	True	arrow	False	blue	C16565
hsa:596	activation	True	arrow	False	black	hsa:836
hsa:3105	activation	True	arrow	False	black	hsa:925
hsa:7189	activation	True	arrow	False	black	hsa:4214
C00144	reaction	True	arrow	False	blue	hsa:100526794
hsa:5021	activation	True	arrow	False	black	hsa:387
hsa:5198	reaction	True	arrow	False	blue	C04640
hsa:10163	activation	True	arrow	False	black	hsa:10092
hsa:4216	activation	True	arrow	False	black	hsa:5606
hsa:1852	inhibition	True	circle	False	black	hsa:5594
hsa:178	reaction	True	arrow	False	blue	C00103
C04637	reaction	True	arrow	False	blue	hsa:138429
hsa:22861	binding/association	False	NA	False	black	hsa:29108
hsa:10161	activation	True	arrow	False	black	hsa:23236
G00125	reaction	True	arrow	False	blue	hsa:29906
hsa:593	reaction	True	arrow	False	blue	C15976
C05379	reaction	True	arrow	False	blue	hsa:3417
